isbn,title,author,cover,publisher,description,category,condition,price,original_price,stock,status
,Python编程从入门到实践,Eric Matthes,,人民邮电出版社,Python入门经典,计算机,九成新,45.00,119.00,3,1
,算法导论,Thomas H. Cormen,,机械工业出版社,经典算法教材,计算机,八成新,65.00,128.00,2,1
,数据结构与算法分析,C Mark Allen Weiss,,电子工业出版社,CS经典教材,计算机,九成新,38.00,89.00,4,1
,计算机网络：自顶向下方法,James F. Kurose,,机械工业出版社,网络入门必读,计算机,八成新,52.00,110.00,2,1
,数据库系统概论,王珊 萨师煊,,高等教育出版社,数据库基础教材,计算机,九成新,28.00,49.00,5,1
,高等数学（上册）,同济大学数学系,,高等教育出版社,工科必备,科学,七成新,22.00,45.00,3,1
,线性代数,同济大学数学系,,高等教育出版社,线性代数基础,科学,九成新,18.00,38.00,4,1
,概率论与数理统计,浙江大学,,高等教育出版社,概率论教材,科学,八成新,25.00,52.00,2,1
,经济学原理（微观）,N. Gregory Mankiw,,北京大学出版社,经济学入门,经济,九成新,42.00,88.00,3,1
,宏观经济学,N. Gregory Mankiw,,北京大学出版社,宏观经济学教材,经济,八成新,48.00,98.00,2,1
,货币金融学,Frederic S. Mishkin,,北京大学出版社,金融学基础,经济,九成新,35.00,72.00,3,1
,会计学基础,刘永泽,,东北财经大学出版社,会计入门,经济,八成新,30.00,58.00,4,1
,普通物理学（第七版）上,程守洙 江之永,,高等教育出版社,大学物理教材,科学,七成新,26.00,55.00,3,1
,大学物理实验,张三慧,,清华大学出版社,物理实验指导,科学,八成新,20.00,42.00,2,1
,简明中国史,张荫麟,,北京大学出版社,中国通史,历史,九成新,30.00,65.00,2,1
,世界史,吴于廑 齐世荣,,高等教育出版社,世界历史教材,历史,八成新,35.00,72.00,3,1
,中国古代文学史,袁行霈,,高等教育出版社,文学史教材,文学,九成新,38.00,78.00,2,1
,现代汉语词典（第7版）,,商务印书馆,权威汉语词典,文学,七成新,50.00,109.00,3,1
,心理学与生活,菲利普·津巴多,,人民邮电出版社,心理学入门,教育,九成新,40.00,85.00,2,1
,教育学基础,十二校联合,,教育科学出版社,教育学教材,教育,八成新,25.00,48.00,4,1
,艺术概论,王宏建,,文化艺术出版社,艺术理论,艺术,九成新,22.00,45.00,3,1
,哲学导论,李秀林,,中国人民大学出版社,哲学入门,哲学,八成新,20.00,42.00,2,1
