isbn,title,author,publisher,publish_date,source_url,cover_url,fallback_cover_url,description,category,condition,price,original_price,stock,status,seller_id
9780132350884,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Prentice Hall,2008-08-01,https://openlibrary.org/isbn/9780132350884,upload/design.jpg,https://covers.openlibrary.org/b/isbn/9780132350884-L.jpg?default=false,经典软件工程书籍，围绕整洁代码与重构实践展开，适合编程课程与工程训练场景。,计算机,九成新,48.00,59.99,2,1,
9780134685991,Effective Java,Joshua Bloch,Addison-Wesley Professional,2018-01-01,https://openlibrary.org/isbn/9780134685991,upload/java.jpg,https://covers.openlibrary.org/b/isbn/9780134685991-L.jpg?default=false,Java 进阶常用参考书，聚焦对象创建、泛型、并发和序列化等最佳实践。,计算机,九成新,52.00,59.99,2,1,
9780201633610,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma / Richard Helm / Ralph Johnson / John Vlissides,Addison-Wesley Professional,1994-10-31,https://openlibrary.org/isbn/9780201633610,upload/design.jpg,https://covers.openlibrary.org/b/isbn/9780201633610-L.jpg?default=false,面向对象设计模式经典书，系统整理创建型、结构型和行为型模式。,计算机,八成新,45.00,65.99,1,1,
9780134092669,Computer Systems: A Programmer's Perspective,Randal E. Bryant / David R. O'Hallaron,Pearson,2016-01-01,https://openlibrary.org/isbn/9780134092669,upload/csapp.jpg,https://covers.openlibrary.org/b/isbn/9780134092669-L.jpg?default=false,从程序员视角讲解计算机系统、汇编、链接、虚拟内存与并发，是系统课程常见教材之一。,计算机,九成新,78.00,219.99,1,1,
9780134610993,Artificial Intelligence: A Modern Approach,Stuart Russell / Peter Norvig,Pearson,2021-12-21,https://openlibrary.org/isbn/9780134610993,upload/gene.jpg,https://covers.openlibrary.org/b/isbn/9780134610993-L.jpg?default=false,人工智能经典教材，覆盖搜索、推理、机器学习、规划、NLP 与 AI 安全等主题。,计算机,九成新,88.00,246.65,1,1,
9780262046305,Introduction to Algorithms,Thomas H. Cormen / Charles E. Leiserson / Ronald L. Rivest / Clifford Stein,The MIT Press,2022-04-05,https://openlibrary.org/isbn/9780262046305,upload/algorithm.jpg,https://covers.openlibrary.org/b/isbn/9780262046305-L.jpg?default=false,算法课程主流教材之一，覆盖数据结构、图算法、动态规划、贪心和更多现代主题。,计算机,九成新,96.00,150.00,1,1,
9780262035613,Deep Learning,Ian Goodfellow / Yoshua Bengio / Aaron Courville,The MIT Press,2016-11-18,https://openlibrary.org/isbn/9780262035613,upload/gene.jpg,https://covers.openlibrary.org/b/isbn/9780262035613-L.jpg?default=false,深度学习经典教材，包含优化、卷积网络、序列模型与研究前沿内容。,计算机,八成新,82.00,100.00,1,1,
9781718502703,Python Crash Course,Eric Matthes,No Starch Press,2022-12-01,https://openlibrary.org/isbn/9781718502703,upload/python.jpg,https://covers.openlibrary.org/b/isbn/9781718502703-L.jpg?default=false,Python 入门与项目实践书籍，适合作为编程初学者教材。,计算机,九成新,36.00,49.99,3,1,
9780131103627,The C Programming Language,Brian W. Kernighan / Dennis M. Ritchie,Prentice Hall,1988-04-01,https://openlibrary.org/isbn/9780131103627,upload/datastructure.jpg,https://covers.openlibrary.org/b/isbn/9780131103627-L.jpg?default=false,C 语言经典教材，常被简称为 K&R，是系统与编译课程常见参考书。,计算机,八成新,42.00,67.99,2,1,
9780262510875,Structure and Interpretation of Computer Programs,Harold Abelson / Gerald Jay Sussman / Julie Sussman,The MIT Press,1996-07-25,https://openlibrary.org/isbn/9780262510875,upload/datastructure.jpg,https://covers.openlibrary.org/b/isbn/9780262510875-L.jpg?default=false,SICP 是计算机教育经典教材，强调抽象、递归、解释器和语言设计思想。,计算机,八成新,58.00,74.99,1,1,
9780735619678,Code Complete,Steve McConnell,Microsoft Press,2004-06-09,https://openlibrary.org/isbn/9780735619678,upload/datastructure.jpg,https://covers.openlibrary.org/b/isbn/9780735619678-L.jpg?default=false,软件构建实践经典，覆盖编码、设计、调试、测试与复杂度控制。,计算机,九成新,56.00,69.99,2,1,
9780134757599,Refactoring: Improving the Design of Existing Code,Martin Fowler,Pearson,2018-11-20,https://openlibrary.org/isbn/9780134757599,upload/design.jpg,https://covers.openlibrary.org/b/isbn/9780134757599-L.jpg?default=false,重构领域代表作，系统讲解代码坏味道识别与重构方法目录。,计算机,九成新,62.00,76.99,2,1,
9780134494166,Clean Architecture,Robert C. Martin,Pearson,2017-09-20,https://openlibrary.org/isbn/9780134494166,upload/design.jpg,https://covers.openlibrary.org/b/isbn/9780134494166-L.jpg?default=false,围绕边界、依赖规则与可维护性讲解架构设计原则。,计算机,九成新,49.00,65.99,2,1,
9780137081073,The Clean Coder,Robert C. Martin,Prentice Hall,2011-05-13,https://openlibrary.org/isbn/9780137081073,upload/design.jpg,https://covers.openlibrary.org/b/isbn/9780137081073-L.jpg?default=false,从职业素养、估时、沟通和工程习惯角度讨论程序员成长。,计算机,九成新,41.00,52.99,2,1,
9780596009205,Head First Java,Kathy Sierra / Bert Bates,O'Reilly Media,2005-02-09,https://openlibrary.org/isbn/9780596009205,upload/java.jpg,https://covers.openlibrary.org/b/isbn/9780596009205-L.jpg?default=false,Java 入门畅销教材，以图文化方式讲解面向对象与基础语法。,计算机,八成新,35.00,44.99,3,1,
9781492078005,Head First Design Patterns,Eric Freeman / Elisabeth Robson,O'Reilly Media,2021-01-01,https://openlibrary.org/isbn/9781492078005,upload/design.jpg,https://covers.openlibrary.org/b/isbn/9781492078005-L.jpg?default=false,设计模式入门教材，通过案例驱动讲解模式的应用和取舍。,计算机,九成新,59.00,71.99,2,1,
9780321573513,Algorithms,Robert Sedgewick / Kevin Wayne,Addison-Wesley Professional,2011-03-19,https://openlibrary.org/isbn/9780321573513,upload/algorithm.jpg,https://covers.openlibrary.org/b/isbn/9780321573513-L.jpg?default=false,算法实践教材，覆盖排序、查找、图、字符串和算法分析。,计算机,九成新,64.00,89.99,2,1,
9780321486813,Compilers: Principles Techniques and Tools,Alfred V. Aho / Monica S. Lam / Ravi Sethi / Jeffrey D. Ullman,Pearson,2006-08-10,https://openlibrary.org/isbn/9780321486813,upload/datastructure.jpg,https://covers.openlibrary.org/b/isbn/9780321486813-L.jpg?default=false,龙书第二版，覆盖词法分析、语法分析、语义分析、优化与代码生成。,计算机,八成新,92.00,119.99,1,1,
9781133187790,Introduction to the Theory of Computation,Michael Sipser,Cengage Learning,2012-06-27,https://openlibrary.org/isbn/9781133187790,upload/datastructure.jpg,https://covers.openlibrary.org/b/isbn/9781133187790-L.jpg?default=false,理论计算机科学经典教材，讲解自动机、可计算性与复杂性理论。,计算机,九成新,68.00,93.99,1,1,
9781118063334,Operating System Concepts,Abraham Silberschatz / Peter B. Galvin / Greg Gagne,Wiley,2012-01-03,https://openlibrary.org/isbn/9781118063334,upload/linux.jpg,https://covers.openlibrary.org/b/isbn/9781118063334-L.jpg?default=false,操作系统课程代表教材，覆盖进程、线程、内存、文件系统和安全。,计算机,八成新,66.00,85.99,2,1,
