isbn,title,author,publisher,publish_date,source_url,cover_url,fallback_cover_url,description,category,condition,price,original_price,stock,status,seller_id
9780324269383,Principles of Economics,N. Gregory Mankiw,Thomson South-Western,2004-01-01,https://openlibrary.org/books/OL10484747M/Principles_of_Economics,upload/economics.jpg,,经济学入门教材，系统覆盖供需、市场、宏观总量、货币与政策分析，适合经济学基础课程。,经济,九成新,42.00,89.00,2,1,
9780134083278,Corporate Finance,Jonathan Berk / Peter DeMarzo,Pearson Education Canada,2016-01-01,https://openlibrary.org/books/OL28829297M/Corporate_Finance,upload/capital.jpg,,公司金融核心教材，讲解资本预算、估值、风险收益、资本结构与融资决策。,经济,九成新,68.00,129.00,1,1,
9780133084047,Principles of Marketing,Philip Kotler / Gary Armstrong,Pearson Education Limited,2013-01-01,https://openlibrary.org/books/OL29134138M/Principles_of_Marketing,upload/economics.jpg,,市场营销经典教材，覆盖市场细分、品牌、消费者行为与整合营销传播。,经济,八成新,49.00,98.00,2,1,
9780131968530,Marketing Management,Philip Kotler,Pearson Education Limited,2005-01-01,https://openlibrary.org/books/OL40344270M/Marketing_Management,upload/wealth.jpg,,营销管理教材，聚焦目标市场选择、价值创造、定价、渠道和营销战略执行。,经济,八成新,53.00,106.00,1,1,
9780132419024,Organizational Behavior,Stephen P. Robbins,Pearson Education Limited,1995-01-01,https://openlibrary.org/books/OL40331766M/Organizational_Behavior,upload/wealth.jpg,,组织行为学教材，涵盖个体行为、群体沟通、领导力、激励与组织文化。,经济,八成新,46.00,88.00,2,1,
9781260193275,Managerial Accounting,Ray H. Garrison / Alan Webb / Theresa Libby,McGraw-Hill Ryerson,2020-01-01,https://openlibrary.org/books/OL47687308M/Managerial_Accounting,upload/capital.jpg,,管理会计教材，适合财务与管理类课程，覆盖成本分析、预算、绩效评价与决策支持。,经济,九成新,61.00,119.00,1,1,
9780071314961,Educational Psychology,John W. Santrock,McGraw-Hill Education,2011-01-01,https://openlibrary.org/books/OL35757242M/Educational_Psychology,upload/education.jpg,,教育心理学教材，连接学习理论与课堂实践，适用于师范与教育学相关课程。,教育,九成新,44.00,79.00,2,1,
9781319132095,Psychology in Modules,David G. Myers / C. Nathan DeWall,Worth Publishers,2020-01-01,https://openlibrary.org/books/OL30205028M/Psychology_in_Modules,upload/psychology.jpg,,模块化心理学教材，覆盖认知、发展、人格、社会心理和异常心理等主题。,科学,九成新,47.00,86.00,2,1,
9781319132125,Exploring Psychology in Modules,David G. Myers / C. Nathan DeWall,Worth Publishers,2021-01-01,https://openlibrary.org/books/OL34163656M/Exploring_Psychology_in_Modules,upload/psychology.jpg,,心理学导论教材，适合通识课程，强调实验研究、案例理解与概念框架。,科学,九成新,45.00,84.00,2,1,
9780136646099,Campbell Biology,Martha R. Taylor / Eric J. Simon / Jean L. Dickey / Kelly A. Hogan,Pearson,2021-01-01,https://openlibrary.org/books/OL50213596M/Campbell_Biology,upload/gene.jpg,,生物学主流教材之一，覆盖细胞、生物化学、遗传、进化、生态与植物动物结构。,科学,九成新,88.00,159.00,1,1,
9780321675460,University Physics with Modern Physics,Hugh D. Young / Roger A. Freedman / A. Lewis Ford,Addison Wesley,2011-01-01,https://openlibrary.org/books/OL25423236M/University_Physics_with_Modern_Physics,upload/time.jpg,,大学物理教材，包含力学、电磁学、热学、振动波动与现代物理内容。,科学,八成新,72.00,138.00,1,1,
9780393137866,Give Me Liberty,Eric Foner,W. W. Norton & Company,2011-01-01,https://openlibrary.org/books/OL43651453M/Give_Me_Liberty,upload/history.jpg,,美国史教材，围绕自由观念与社会变迁梳理美国政治、经济和文化发展。,历史,八成新,39.00,72.00,2,1,
9780312452872,Ways of the World,Robert W. Strayer / Jay Harmon,Bedford/St. Martin's,2009-01-01,https://openlibrary.org/books/OL23191748M/Ways_of_the_world,upload/history.jpg,,世界史教材，强调全球视角下的重要趋势、主题与社会互动，适合通史课程。,历史,九成新,52.00,96.00,1,1,
9781337098045,Western Civilization since 1300,Jackson J. Spielvogel,Wadsworth Publishing,2017-01-01,https://openlibrary.org/works/OL44183281W/Western_Civilization_since_1300,upload/history.jpg,,西方文明史教材，聚焦近代以来欧洲与西方世界的政治、思想和社会演进。,历史,八成新,48.00,92.00,1,1,
9780393912487,The Norton Anthology of English Literature,Stephen Greenblatt / Margaret Atwood / Emily Bronte / Charles Dickens / Arthur Conan Doyle,W. W. Norton & Company,2012-01-01,https://openlibrary.org/books/OL49379221M/The_Norton_anthology_of_English_literature,upload/ordinary.jpg,,英语文学选读教材，适用于文学史与经典文本阅读课程，收录大量代表性作品。,文学,八成新,65.00,128.00,1,1,
9780393603026,The Norton Anthology of English Literature: Volume A,James Simpson,W. W. Norton & Company,2018-01-01,https://openlibrary.org/books/OL49379246M/The_Norton_anthology_of_English_literature,upload/ordinary.jpg,,英语文学教材分卷本，聚焦中世纪文学与早期英语文本，适合分阶段课程使用。,文学,九成新,43.00,79.00,2,1,
